,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/9/13,821.542,829.92,518563300,949.584,963.774,1657943100,884.247,904.311,1249627241,895.052,915.497,315464241
2005/9/14,831.193,834.013,673494000,964.97,970.193,1995829100,906.214,914.983,1659733385,916.876,927.815,426834754
2005/9/15,834.444,833.509,501905900,970.58,969.598,1637767900,914.906,918.505,1358238477,926.864,929.952,366461128
2005/9/16,833.56,830.621,426771700,969.619,967.495,1397857100,918.259,917.638,1096153231,929.076,930.411,296694661
2005/9/19,831.04,831.569,447420600,967.44,971.136,1473742100,918.129,930.489,1205620878,932.579,947.902,363300753
2005/9/20,832.218,827.266,580745400,971.379,961.919,1863660400,931.88,924.16,1574760592,950.666,947.284,470888734
2005/9/21,827.009,811.135,677982000,961.374,944.408,1854189500,921.92,909.787,1560313942,942.734,933.812,430650965
2005/9/22,808.892,796.939,637333900,942.726,923.274,1811552500,906.049,880.013,1440832168,927.845,892.077,385855385
2005/9/23,796.09,793.163,368138100,921.51,916.154,1154764400,876.31,868.549,979978400,885.937,874.667,247035198
2005/9/26,793.307,793.73,326669400,915.84,918.485,883624100,867.222,874.84,696568999,873.949,884.285,188513672
2005/9/27,793.714,782.235,399539200,918.866,904.214,1108605600,875.097,856.958,880588126,884.26,859.634,241850975
2005/9/28,781.727,782.998,309605900,903.328,903.719,885031000,855.796,852.359,751078150,857.588,857.46,201254722
2005/9/29,784.151,792.251,461185400,904.28,915.975,1193897800,852.038,871.291,883536020,855.552,876.566,237305477
2005/9/30,792.788,793.652,278292600,916.587,917.392,900143300,871.229,869.509,752996306,876.916,870.957,202548349
2005/10/10,792.759,787.748,224197300,917.211,907.321,715845100,870.049,858.748,611949522,870.245,859.077,180345586
2005/10/11,787.274,796.071,220438100,906.628,919.72,775829500,857.642,878.623,763526757,857.27,879.88,188693818
2005/10/12,796.045,795.324,395783200,920.453,923.485,1220885200,879.05,887.711,945920510,880.107,889.599,204717142
2005/10/13,795.053,788.361,362651500,923.426,916.499,1082890400,888.303,883.45,828704887,890.437,886.077,216194192
2005/10/14,788.398,777.492,319598200,916.337,904.828,1012394000,882.872,876.053,795404996,884.322,876.262,185145416
2005/10/17,776.262,769.321,391225300,903.266,897.623,1055250600,874.854,878.757,768788822,873.788,879.27,166948520
2005/10/18,769.572,771.448,458133400,897.366,902.366,1136631700,878.781,893.699,971621052,878.938,897.454,247957481
2005/10/19,771.037,769.682,379093400,902.036,898.744,1103304800,893.467,886.314,984363321,897.727,891.35,278469222
2005/10/20,768.619,773.676,347059800,898.891,899.915,1260872500,885.34,886.551,952193584,891.152,891.058,227553522
2005/10/21,773.522,774.058,414627500,899.645,904.414,1136458800,886.431,895.027,1002492703,891.325,897.639,226574080
2005/10/24,774.581,771.154,504026100,905.129,906.652,921898200,895.428,897.757,878935437,896.579,897.355,194604517
2005/10/25,771.019,765.029,425217800,905.967,894.272,1121340100,896.693,877.577,867696644,896.215,876.636,204004384
2005/10/26,763.119,749.125,542256700,892.617,875.82,1216712300,875.54,854.028,938201439,875.05,853.183,226751540
